laureate,laureateName,prize,prizeLabel,awardYear,birthCountry,birthCountryLabel,inst,instLabel,instCountry,instCountryLabel,startYear,endYear
http://www.wikidata.org/entity/Q103835,Peter Debye,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1936,http://www.wikidata.org/entity/Q55,Netherlands,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,1914,-1
http://www.wikidata.org/entity/Q77142,Adolf Windaus,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1928,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77126,Erwin Neher,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1991,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77081,Bert Sakmann,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1991,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q76696,Ludwig Quidde,http://www.wikidata.org/entity/Q35637,Nobel Peace Prize,1927,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q76602,Gerhard Herzberg,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1971,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q76600,Manfred Eigen,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1967,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q97270,Thomas C. Südhof,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,2013,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57227,Wolfgang Paul,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1989,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57092,Johannes Stark,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1919,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152838,University of Göttingen,http://www.wikidata.org/entity/Q183,Germany,-1,-1
